track_title,artist_title,explicit,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveliness,loudness,mode,speechiness,tempo,time_signature,valence,metric,billboard_hit
the grand tour,aaron neville,f,200640,0.474,0.547,0.47200000000000003,0.00000145,9.0,0.0907,-7.393,1.0,0.0357,87.64200000000002,4.0,0.409,0.05361320826660565850,1.0
the grand tour,aaron neville,f,202400,,,,,,,,,,,,,0.05361320826660565850,1.0
rock me amadeus,falco,f,189198,0.0586,0.715,0.643,0.0,9.0,0.0732,-5.626,0.0,0.0604,88.99700000000001,4.0,0.228,4.11683795616576061796,1.0
i don't want this night to end,luke bryan,f,219973,0.0275,0.616,0.728,0.0,9.0,0.228,-4.02,0.0,0.0278,111.934,4.0,0.375,0.70784509574872316458,1.0
i don't want this night to end,luke bryan,f,219973,0.0275,0.616,0.728,0.0,9.0,0.228,-4.02,0.0,0.0278,111.934,4.0,0.375,0.70784509574872316458,1.0
i don't want this night to end,luke bryan,f,219973,0.0275,0.616,0.728,0.0,9.0,0.228,-4.02,0.0,0.0278,111.934,4.0,0.375,0.70784509574872316458,1.0
i don't want this night to end,luke bryan,f,219973,0.0275,0.616,0.728,0.0,9.0,0.228,-4.02,0.0,0.0278,111.934,4.0,0.375,0.70784509574872316458,1.0
i don't want this night to end,luke bryan,f,219973,0.0275,0.616,0.728,0.0,9.0,0.228,-4.02,0.0,0.0278,111.934,4.0,0.375,0.70784509574872316458,1.0
i don't want this night to end,luke bryan,f,219973,0.0275,0.616,0.728,0.0,9.0,0.228,-4.02,0.0,0.0278,111.934,4.0,0.375,0.70784509574872316458,1.0
can't stop this thing we started,bryan adams,f,269133,0.034,0.542,0.884,0.0,9.0,0.455,-6.85,1.0,0.0418,113.01899999999999,4.0,0.557,2.24942503317116320213,1.0
can't stop this thing we started,bryan adams,f,269133,0.034,0.542,0.884,0.0,9.0,0.455,-6.85,1.0,0.0418,113.01899999999999,4.0,0.557,2.24942503317116320213,1.0
can't stop this thing we started,bryan adams,f,268400,0.0172,0.518,0.937,0.0,9.0,0.34,-3.7689999999999997,1.0,0.0456,113.036,4.0,0.537,2.24942503317116320213,1.0
can't stop this thing we started,bryan adams,f,268400,0.0172,0.518,0.937,0.0,9.0,0.34,-3.7689999999999997,1.0,0.0456,113.036,4.0,0.537,2.24942503317116320213,1.0
can't stop this thing we started,bryan adams,f,195933,0.0112,0.4970000000000001,0.93,0.0,9.0,0.354,-3.9019999999999997,1.0,0.0444,113.086,4.0,0.47,2.24942503317116320213,1.0
can't stop this thing we started,bryan adams,f,195933,0.0112,0.4970000000000001,0.93,0.0,9.0,0.354,-3.9019999999999997,1.0,0.0444,113.086,4.0,0.47,2.24942503317116320213,1.0
i can't wait,stevie nicks,f,275840,0.0037,0.61,0.9309999999999999,0.00352,9.0,0.873,-4.955,0.0,0.0874,125.399,4.0,0.449,0.43873995701669884448,1.0
i got cha opin,black moon,t,255200,0.213,0.726,0.39799999999999996,0.155,4.0,0.127,-12.767000000000001,0.0,0.24100000000000002,91.59899999999999,4.0,0.536,0.10432341209431068601,1.0
t-shirt,thomas rhett,f,227693,0.0318,0.647,0.857,0.0,2.0,0.0212,-5.381,1.0,0.0397,95.99600000000001,4.0,0.7709999999999999,0.33910129940868938698,1.0
t-shirt,thomas rhett,f,227693,0.0285,0.633,0.862,0.0,2.0,0.0217,-5.3370000000000015,1.0,0.0377,95.92399999999999,4.0,0.768,0.33910129940868938698,1.0
t-shirt,thomas rhett,f,227693,0.0344,0.639,0.8590000000000001,0.0,2.0,0.0212,-5.3629999999999995,1.0,0.0395,95.971,4.0,0.758,0.33910129940868938698,1.0
walk on the ocean,toad the wet sprocket,f,179040,0.28800000000000003,0.387,0.552,0.00000372,6.0,0.303,-7.086,1.0,0.0297,183.171,3.0,0.336,0.58064834273250340978,1.0
walk on the ocean,toad the wet sprocket,f,179040,0.28800000000000003,0.387,0.552,0.00000372,6.0,0.303,-7.086,1.0,0.0297,183.171,3.0,0.336,0.58064834273250340978,1.0
walk on the ocean,toad the wet sprocket,f,178773,0.23600000000000002,0.395,0.502,0.00000579,6.0,0.332,-8.328,1.0,0.0309,183.237,3.0,0.32299999999999995,0.58064834273250340978,0.0
walk on the ocean,toad the wet sprocket,f,235826,0.27,0.305,0.594,0.00000814,6.0,0.297,-7.277,1.0,0.0307,183.172,3.0,0.48100000000000004,0.58064834273250340978,0.0
pull over,trina,f,186733,0.00563,0.965,0.779,0.0,1.0,0.158,-5.5429999999999975,0.0,0.0676,124.985,4.0,0.785,0.04147863318922514134,1.0
pull over,trina,t,194025,0.0134,0.955,0.768,0.0,1.0,0.308,-5.54,0.0,0.18100000000000002,125.04,4.0,0.741,0.04147863318922514134,1.0
it's a business doing pleasure with you,tim mcgraw,f,188280,0.0684,0.6920000000000001,0.8859999999999999,0.0,9.0,0.142,-4.968999999999999,1.0,0.0301,112.986,4.0,0.696,0.09775828992573599433,1.0
loving you easy,zac brown band,f,155653,0.017,0.722,0.593,0.00000142,1.0,0.067,-3.9530000000000003,1.0,0.0269,98.98200000000001,4.0,0.326,0.27627061200489020171,1.0
stranger in town,toto,f,287066,0.0957,0.599,0.667,0.479,2.0,0.10099999999999999,-16.012999999999998,0.0,0.0329,154.915,4.0,0.762,0.05178238895232461571,1.0
beverly hills,weezer,f,196093,0.0932,0.693,0.823,0.0,5.0,0.32799999999999996,-3.761,1.0,0.0726,87.904,4.0,0.741,2.22562693477902634620,1.0
beverly hills,weezer,f,196093,0.0932,0.693,0.823,0.0,5.0,0.32799999999999996,-3.761,1.0,0.0726,87.904,4.0,0.741,2.22562693477902634620,1.0
i smile,kirk franklin,f,307973,0.223,0.745,0.753,0.0,1.0,0.705,-2.408,1.0,0.16399999999999998,144.05700000000004,4.0,0.589,0.19257177828989298523,1.0
